File Name,D16 value,TS_Barrier,Converted Name,,File Name,D16 value,TS_Barrier,Converted Name,File Name,D16 value,TS_Barrier,Converted Name,File Name,D16 value,TS_Barrier,Converted Name
2A,14.28515,15.03331982,3-Me-IBX,,3A,2.9645,17.758575,4-Me-IBX,4A,2.7841,17.21090502,5-Me-IBX,5A,4.0351,18.17814894,6-Me-IBX
7A,6.3645,18.56733064,3-F-IBX,,8A,3.8351,18.38692151,4-F-IBX,9A,3.88178,18.1209817,5-F-IBX,10A,4.0154,18.06067906,6-F-IBX
12A,16.24985,14.09368854,3-Cl-IBX,,13A,3.8826,18.2435923,4-Cl-IBX,14A,3.9468,17.64683622,5-Cl-IBX,15A,3.9205,18.81463233,6-Cl-IBX
17A,6.4255,19.93806342,3-MeO-IBX,,18A,2.5259,18.74435121,4-MeO-IBX,19A,2.2922,17.62794817,5-MeO-IBX,20A,3.9643,18.97119607,6-MeO-IBX
22A,10.777,16.91091205,3-Et-IBX,,23A,1.7674,18.00244614,4-Et-IBX,24A,2.0072,17.8278101,5-Et-IBX,25A,-0.15457,19.57428497,6-Et-IBX
27A,19.38395,15.64859675,3-COOH-IBX,,28A,1.8108,18.84355739,4-COOH-IBX,29A,2.16998,18.7454769,5-COOH-IBX,30A,4.79561,18.7465854,6-COOH-IBX
31A,0.10774,19.5362394,3-tBu-IBX,,32A,3.7196,18.45412783,4-tBu-IBX,33A,4.0413,17.78200187,5-tBu-IBX,34A,5.1231,21.56199661,6-tBu-IBX
35A,12.91414,15.674785,3-CN-IBX,,36A,4.1697,18.33722272,4-CN-IBX,37A,4.0637,18.09569412,5-CN-IBX,38A,3.9536,18.27767202,6-CN-IBX
40A,18.79801,14.647595,3-NO2-IBX,,41A,2.0284,18.20902243,4-NO2-IBX,42A,2.576,17.89614594,5-NO2-IBX,43A,4.8258,19.03438633,6-NO2-IBX
44A,20.84537,13.97113326,3-SO3H-IBX,,45A,3.64937,18.74856,4-SO3H-IBX,46A,1.7749,18.01330206,5-SO3H-IBX,47A,1.575,18.7385954,6-SO3H-IBX
48A,11.4663,14.55785549,3-Br-IBX,,49A,4.0389,18.52679349,4-Br-IBX,50A,3.9781,17.83508922,5-Br-IBX,51A,4.00625,18.67498594,6-Br-IBX
53A,6.3284,21.28469994,3-OH-IBX,,54A,3.7297,18.55013687,4-OH-IBX,55A,3.3815,17.88290548,5-OH-IBX,56A,4.02359,18.5254042,6-OH-IBX
57A,20.2663,16.31130669,3-I-IBX,,58A,3.9797,18.32806108,4-I-IBX,59A,4.0193,17.77660529,5-I-IBX,61A,29.57151,10.63794323,"3,4,5,6-tetraI-IBX"
62A,3.9767,17.93285528,3-NH2-IBX,,63A,1.7277,17.84694916,4-NH2-IBX,64A,3.2648,17.00815654,5-NH2-IBX,65A,3.9732,18.39708718,6-NH2-IBX
66A,5.4931,18.0205614,3-S-IBX,,67A,3.6667,18.46623878,4-S-IBX,68A,3.0831,18.18210225,5-S-IBX,69A,3.78393,18.843753,6-S-IBX
70A,13.09347,14.76302745,3-ethynyl-IBX,,71A,4.0256,18.119414,4-ethynyl-IBX,72A,3.9505,18.12838739,5-ethynyl-IBX,73A,3.71541,18.74967264,6-ethynyl-IBX
75A,9.07388,16.83786541,3-iPr-IBX,,76A,2.37936,18.34540244,4-iPr-IBX,77A,2.1446,18.37079451,5-iPr-IBX,78A,4.2764,19.15235821,6-iPr-IBX
79A,18.36779,14.33660724,3-SMe-IBX,,80A,3.5453,17.96372877,4-SMe-IBX,81A,2.3685,17.21071677,5-SMe-IBX,82A,3.0103,17.94490347,6-SMe-IBX
